tactic_id,tactic_name,tactic_shortname,technique_id,technique_name,is_subtechnique
TA0001,initial access,initial-access,T1192,spearphishing link,False
TA0005,stealth,stealth,T1036.008,masquerade file type,True
TA0040,impact,impact,T1489,service stop,False
TA0042,resource development,resource-development,T1587.001,malware,True
TA0005,stealth,stealth,T1121,regsvcs/regasm,False
TA0002,execution,execution,T1121,regsvcs/regasm,False
TA0007,discovery,discovery,T1652,device driver discovery,False
TA0004,privilege escalation,privilege-escalation,T1206,sudo caching,False
TA0007,discovery,discovery,T1087.002,domain account,True
TA0003,persistence,persistence,T1547.014,active setup,True
TA0004,privilege escalation,privilege-escalation,T1547.014,active setup,True
TA0005,stealth,stealth,T1564,hide artifacts,False
TA0002,execution,execution,T1559.002,dynamic data exchange,True
TA0002,execution,execution,T1204.002,malicious file,True
TA0043,reconnaissance,reconnaissance,T1591.003,identify business tempo,True
TA0112,defense impairment,defense-impairment,T1685.004,disable or modify linux audit system log,True
TA0007,discovery,discovery,T1063,security software discovery,False
TA0011,command and control,command-and-control,T1071.005,publish/subscribe protocols,True
TA0043,reconnaissance,reconnaissance,T1592.001,hardware,True
TA0008,lateral movement,lateral-movement,T1080,taint shared content,False
TA0112,defense impairment,defense-impairment,T1484.002,trust modification,True
TA0004,privilege escalation,privilege-escalation,T1484.002,trust modification,True
TA0009,collection,collection,T1213.006,databases,True
TA0011,command and control,command-and-control,T1573.001,symmetric cryptography,True
TA0007,discovery,discovery,T1087.001,local account,True
TA0006,credential access,credential-access,T1167,securityd memory,False
TA0042,resource development,resource-development,T1586.001,social media accounts,True
TA0003,persistence,persistence,T1176.001,browser extensions,True
TA0005,stealth,stealth,T1527,application access token,False
TA0008,lateral movement,lateral-movement,T1527,application access token,False
TA0005,stealth,stealth,T1562.009,safe mode boot,True
TA0003,persistence,persistence,T1180,screensaver,False
TA0005,stealth,stealth,T1542.005,tftp boot,True
TA0003,persistence,persistence,T1542.005,tftp boot,True
TA0112,defense impairment,defense-impairment,T1686.003,windows host firewall,True
TA0003,persistence,persistence,T1543.003,windows service,True
TA0004,privilege escalation,privilege-escalation,T1543.003,windows service,True
TA0011,command and control,command-and-control,T1568.001,fast flux dns,True
TA0005,stealth,stealth,T1497.001,system checks,True
TA0007,discovery,discovery,T1497.001,system checks,True
TA0002,execution,execution,T1053.003,cron,True
TA0003,persistence,persistence,T1053.003,cron,True
TA0004,privilege escalation,privilege-escalation,T1053.003,cron,True
TA0007,discovery,discovery,T1069.002,domain groups,True
TA0042,resource development,resource-development,T1588.006,vulnerabilities,True
TA0001,initial access,initial-access,T1566.002,spearphishing link,True
TA0003,persistence,persistence,T1165,startup items,False
TA0004,privilege escalation,privilege-escalation,T1165,startup items,False
TA0005,stealth,stealth,T1070.002,clear linux or mac system logs,True
TA0040,impact,impact,T1499.004,application or system exploitation,True
TA0003,persistence,persistence,T1137,office application startup,False
TA0005,stealth,stealth,T1218.004,installutil,True
TA0043,reconnaissance,reconnaissance,T1598.003,spearphishing link,True
TA0008,lateral movement,lateral-movement,T1021.004,ssh,True
TA0003,persistence,persistence,T1098.003,additional cloud roles,True
TA0004,privilege escalation,privilege-escalation,T1098.003,additional cloud roles,True
TA0003,persistence,persistence,T1547.012,print processors,True
TA0004,privilege escalation,privilege-escalation,T1547.012,print processors,True
TA0005,stealth,stealth,T1089,disabling security tools,False
TA0040,impact,impact,T1487,disk structure wipe,False
TA0001,initial access,initial-access,T1566.001,spearphishing attachment,True
TA0006,credential access,credential-access,T1214,credentials in registry,False
TA0005,stealth,stealth,T1027.008,stripped payloads,True
TA0002,execution,execution,T1559.001,component object model,True
TA0005,stealth,stealth,T1574.001,dll,True
TA0002,execution,execution,T1574.001,dll,True
TA0009,collection,collection,T1119,automated collection,False
TA0112,defense impairment,defense-impairment,T1689,downgrade attack,False
TA0009,collection,collection,T1115,clipboard data,False
TA0006,credential access,credential-access,T1003.007,proc filesystem,True
TA0042,resource development,resource-development,T1583.005,botnet,True
TA0006,credential access,credential-access,T1555.005,password managers,True
TA0003,persistence,persistence,T1103,appinit dlls,False
TA0004,privilege escalation,privilege-escalation,T1103,appinit dlls,False
TA0112,defense impairment,defense-impairment,T1553.001,gatekeeper bypass,True
TA0002,execution,execution,T1675,esxi administration command,False
TA0042,resource development,resource-development,T1608.004,drive-by target,True
TA0007,discovery,discovery,T1007,system service discovery,False
TA0006,credential access,credential-access,T1040,network sniffing,False
TA0007,discovery,discovery,T1040,network sniffing,False
TA0008,lateral movement,lateral-movement,T1017,application deployment software,False
TA0112,defense impairment,defense-impairment,T1553.002,code signing,True
TA0009,collection,collection,T1530,data from cloud storage,False
TA0040,impact,impact,T1565.003,runtime data manipulation,True
TA0006,credential access,credential-access,T1552.002,credentials in registry,True
TA0007,discovery,discovery,T1135,network share discovery,False
TA0007,discovery,discovery,T1120,peripheral device discovery,False
TA0005,stealth,stealth,T1036.009,break process trees,True
TA0043,reconnaissance,reconnaissance,T1590.004,network topology,True
TA0042,resource development,resource-development,T1587.002,code signing certificates,True
TA0112,defense impairment,defense-impairment,T1222.001,windows permissions,True
TA0003,persistence,persistence,T1137.006,add-ins,True
TA0112,defense impairment,defense-impairment,T1685.002,disable or modify cloud log,True
TA0003,persistence,persistence,T1505.002,transport agent,True
TA0007,discovery,discovery,T1082,system information discovery,False
TA0011,command and control,command-and-control,T1071,application layer protocol,False
TA0005,stealth,stealth,T1574.014,appdomainmanager,True
TA0002,execution,execution,T1574.014,appdomainmanager,True
TA0009,collection,collection,T1074.002,remote data staging,True
TA0003,persistence,persistence,T1098.006,additional container cluster roles,True
TA0004,privilege escalation,privilege-escalation,T1098.006,additional container cluster roles,True
TA0002,execution,execution,T1053,scheduled task/job,False
TA0003,persistence,persistence,T1053,scheduled task/job,False
TA0004,privilege escalation,privilege-escalation,T1053,scheduled task/job,False
TA0005,stealth,stealth,T1218.007,msiexec,True
TA0003,persistence,persistence,T1162,login item,False
TA0043,reconnaissance,reconnaissance,T1590.003,network trust dependencies,True
TA0040,impact,impact,T1498.002,reflection amplification,True
TA0112,defense impairment,defense-impairment,T1556.002,password filter dll,True
TA0003,persistence,persistence,T1556.002,password filter dll,True
TA0006,credential access,credential-access,T1556.002,password filter dll,True
TA0003,persistence,persistence,T1505.005,terminal services dll,True
TA0002,execution,execution,T1059.002,applescript,True
TA0003,persistence,persistence,T1176,software extensions,False
TA0040,impact,impact,T1499.002,service exhaustion flood,True
TA0001,initial access,initial-access,T1195.003,compromise hardware supply chain,True
TA0002,execution,execution,T1106,native api,False
TA0006,credential access,credential-access,T1558.005,ccache files,True
TA0005,stealth,stealth,T1070.007,clear network connection history and configurations,True
TA0006,credential access,credential-access,T1558.004,as-rep roasting,True
TA0003,persistence,persistence,T1058,service registry permissions weakness,False
TA0004,privilege escalation,privilege-escalation,T1058,service registry permissions weakness,False
TA0042,resource development,resource-development,T1584.003,virtual private server,True
TA0002,execution,execution,T1059.010,autohotkey & autoit,True
TA0112,defense impairment,defense-impairment,T1600.001,reduce key space,True
TA0005,stealth,stealth,T1070.003,clear command history,True
TA0005,stealth,stealth,T1202,indirect command execution,False
TA0011,command and control,command-and-control,T1024,custom cryptographic protocol,False
TA0005,stealth,stealth,T1536,revert cloud instance,False
TA0008,lateral movement,lateral-movement,T1091,replication through removable media,False
TA0001,initial access,initial-access,T1091,replication through removable media,False
TA0009,collection,collection,T1005,data from local system,False
TA0005,stealth,stealth,T1140,deobfuscate/decode files or information,False
TA0003,persistence,persistence,T1137.005,outlook rules,True
TA0005,stealth,stealth,T1562,impair defenses,False
TA0042,resource development,resource-development,T1586.003,cloud accounts,True
TA0042,resource development,resource-development,T1586.002,email accounts,True
TA0003,persistence,persistence,T1098.007,additional local or domain groups,True
TA0004,privilege escalation,privilege-escalation,T1098.007,additional local or domain groups,True
TA0042,resource development,resource-development,T1608.001,upload malware,True
TA0001,initial access,initial-access,T1195,supply chain compromise,False
TA0001,initial access,initial-access,T1190,exploit public-facing application,False
TA0006,credential access,credential-access,T1558,steal or forge kerberos tickets,False
TA0006,credential access,credential-access,T1555,credentials from password stores,False
TA0010,exfiltration,exfiltration,T1567,exfiltration over web service,False
TA0011,command and control,command-and-control,T1219,remote access tools,False
TA0042,resource development,resource-development,T1583.001,domains,True
TA0009,collection,collection,T1560.002,archive via library,True
TA0005,stealth,stealth,T1055.003,thread execution hijacking,True
TA0004,privilege escalation,privilege-escalation,T1055.003,thread execution hijacking,True
TA0005,stealth,stealth,T1684,social engineering,False
TA0011,command and control,command-and-control,T1079,multilayer encryption,False
TA0005,stealth,stealth,T1036,masquerading,False
TA0004,privilege escalation,privilege-escalation,T1546.011,application shimming,True
TA0003,persistence,persistence,T1546.011,application shimming,True
TA0006,credential access,credential-access,T1552,unsecured credentials,False
TA0003,persistence,persistence,T1547.010,port monitors,True
TA0004,privilege escalation,privilege-escalation,T1547.010,port monitors,True
TA0005,stealth,stealth,T1070.008,clear mailbox data,True
TA0003,persistence,persistence,T1037.002,login hook,True
TA0004,privilege escalation,privilege-escalation,T1037.002,login hook,True
TA0001,initial access,initial-access,T1659,content injection,False
TA0011,command and control,command-and-control,T1659,content injection,False
TA0005,stealth,stealth,T1055,process injection,False
TA0004,privilege escalation,privilege-escalation,T1055,process injection,False
TA0010,exfiltration,exfiltration,T1567.004,exfiltration over webhook,True
TA0006,credential access,credential-access,T1139,bash history,False
TA0005,stealth,stealth,T1205,traffic signaling,False
TA0003,persistence,persistence,T1205,traffic signaling,False
TA0011,command and control,command-and-control,T1205,traffic signaling,False
TA0008,lateral movement,lateral-movement,T1021.008,direct cloud vm connections,True
TA0006,credential access,credential-access,T1503,credentials from web browsers,False
TA0005,stealth,stealth,T1218,system binary proxy execution,False
TA0002,execution,execution,T1153,source,False
TA0003,persistence,persistence,T1038,dll search order hijacking,False
TA0004,privilege escalation,privilege-escalation,T1038,dll search order hijacking,False
TA0005,stealth,stealth,T1038,dll search order hijacking,False
TA0003,persistence,persistence,T1050,new service,False
TA0004,privilege escalation,privilege-escalation,T1050,new service,False
TA0005,stealth,stealth,T1070.006,timestomp,True
TA0006,credential access,credential-access,T1557.004,evil twin,True
TA0009,collection,collection,T1557.004,evil twin,True
TA0005,stealth,stealth,T1620,reflective code loading,False
TA0007,discovery,discovery,T1016.002,wi-fi discovery,True
TA0005,stealth,stealth,T1480.002,mutual exclusion,True
TA0005,stealth,stealth,T1564.011,ignore process interrupts,True
TA0004,privilege escalation,privilege-escalation,T1611,escape to host,False
TA0007,discovery,discovery,T1518.002,backup software discovery,True
TA0003,persistence,persistence,T1547.009,shortcut modification,True
TA0004,privilege escalation,privilege-escalation,T1547.009,shortcut modification,True
TA0007,discovery,discovery,T1010,application window discovery,False
TA0002,execution,execution,T1569.003,systemctl,True
TA0011,command and control,command-and-control,T1032,standard cryptographic protocol,False
TA0007,discovery,discovery,T1087.003,email account,True
TA0003,persistence,persistence,T1062,hypervisor,False
TA0005,stealth,stealth,T1497.003,time based checks,True
TA0007,discovery,discovery,T1497.003,time based checks,True
TA0003,persistence,persistence,T1182,appcert dlls,False
TA0004,privilege escalation,privilege-escalation,T1182,appcert dlls,False
TA0005,stealth,stealth,T1218.003,cmstp,True
TA0008,lateral movement,lateral-movement,T1563.001,ssh hijacking,True
TA0005,stealth,stealth,T1562.002,disable windows event logging,True
TA0010,exfiltration,exfiltration,T1029,scheduled transfer,False
TA0008,lateral movement,lateral-movement,T1021.002,smb/windows admin shares,True
TA0003,persistence,persistence,T1525,implant internal image,False
TA0011,command and control,command-and-control,T1572,protocol tunneling,False
TA0005,stealth,stealth,T1218.002,control panel,True
TA0112,defense impairment,defense-impairment,T1599.001,network address translation traversal,True
TA0042,resource development,resource-development,T1608.002,upload tool,True
TA0003,persistence,persistence,T1547.005,security support provider,True
TA0004,privilege escalation,privilege-escalation,T1547.005,security support provider,True
TA0005,stealth,stealth,T1036.011,overwrite process arguments,True
TA0003,persistence,persistence,T1004,winlogon helper dll,False
TA0005,stealth,stealth,T1009,binary padding,False
TA0008,lateral movement,lateral-movement,T1550,use alternate authentication material,False
TA0008,lateral movement,lateral-movement,T1076,remote desktop protocol,False
TA0043,reconnaissance,reconnaissance,T1597.001,threat intel vendors,True
TA0010,exfiltration,exfiltration,T1011,exfiltration over other network medium,False
TA0009,collection,collection,T1602.002,network device configuration dump,True
TA0043,reconnaissance,reconnaissance,T1589,gather victim identity information,False
TA0003,persistence,persistence,T1131,authentication package,False
TA0005,stealth,stealth,T1181,extra window memory injection,False
TA0004,privilege escalation,privilege-escalation,T1181,extra window memory injection,False
TA0005,stealth,stealth,T1562.004,disable or modify system firewall,True
TA0009,collection,collection,T1560,archive collected data,False
TA0005,stealth,stealth,T1152,launchctl,False
TA0002,execution,execution,T1152,launchctl,False
TA0003,persistence,persistence,T1152,launchctl,False
TA0112,defense impairment,defense-impairment,T1553.003,sip and trust provider hijacking,True
TA0011,command and control,command-and-control,T1483,domain generation algorithms,False
TA0009,collection,collection,T1185,browser session hijacking,False
TA0008,lateral movement,lateral-movement,T1021,remote services,False
TA0011,command and control,command-and-control,T1071.003,mail protocols,True
TA0112,defense impairment,defense-impairment,T1556.007,hybrid identity,True
TA0003,persistence,persistence,T1556.007,hybrid identity,True
TA0006,credential access,credential-access,T1556.007,hybrid identity,True
TA0043,reconnaissance,reconnaissance,T1595.002,vulnerability scanning,True
TA0002,execution,execution,T1059.009,cloud api,True
TA0043,reconnaissance,reconnaissance,T1596,search open technical databases,False
TA0005,stealth,stealth,T1218.015,electron applications,True
TA0005,stealth,stealth,T1562.012,disable or modify linux audit system,True
TA0112,defense impairment,defense-impairment,T1207,rogue domain controller,False
TA0112,defense impairment,defense-impairment,T1553.006,code signing policy modification,True
TA0002,execution,execution,T1610,deploy container,False
TA0005,stealth,stealth,T1107,file deletion,False
TA0006,credential access,credential-access,T1145,private keys,False
TA0112,defense impairment,defense-impairment,T1112,modify registry,False
TA0003,persistence,persistence,T1112,modify registry,False
TA0003,persistence,persistence,T1543.004,launch daemon,True
TA0004,privilege escalation,privilege-escalation,T1543.004,launch daemon,True
TA0007,discovery,discovery,T1580,cloud infrastructure discovery,False
TA0006,credential access,credential-access,T1555.003,credentials from web browsers,True
TA0005,stealth,stealth,T1574.008,path interception by search order hijacking,True
TA0002,execution,execution,T1574.008,path interception by search order hijacking,True
TA0040,impact,impact,T1491,defacement,False
TA0005,stealth,stealth,T1535,unused/unsupported cloud regions,False
TA0006,credential access,credential-access,T1557.003,dhcp spoofing,True
TA0009,collection,collection,T1557.003,dhcp spoofing,True
TA0002,execution,execution,T1155,applescript,False
TA0008,lateral movement,lateral-movement,T1563,remote service session hijacking,False
TA0005,stealth,stealth,T1564.013,bind mounts,True
TA0005,stealth,stealth,T1027.001,binary padding,True
TA0003,persistence,persistence,T1505.003,web shell,True
TA0112,defense impairment,defense-impairment,T1484.001,group policy modification,True
TA0004,privilege escalation,privilege-escalation,T1484.001,group policy modification,True
TA0112,defense impairment,defense-impairment,T1685.006,clear linux or mac system logs,True
TA0007,discovery,discovery,T1217,browser information discovery,False
TA0006,credential access,credential-access,T1552.004,private keys,True
TA0042,resource development,resource-development,T1583.004,server,True
TA0008,lateral movement,lateral-movement,T1021.006,windows remote management,True
TA0010,exfiltration,exfiltration,T1011.001,exfiltration over bluetooth,True
TA0005,stealth,stealth,T1078.001,default accounts,True
TA0003,persistence,persistence,T1078.001,default accounts,True
TA0004,privilege escalation,privilege-escalation,T1078.001,default accounts,True
TA0001,initial access,initial-access,T1078.001,default accounts,True
TA0003,persistence,persistence,T1547.003,time providers,True
TA0004,privilege escalation,privilege-escalation,T1547.003,time providers,True
TA0004,privilege escalation,privilege-escalation,T1183,image file execution options injection,False
TA0003,persistence,persistence,T1183,image file execution options injection,False
TA0005,stealth,stealth,T1183,image file execution options injection,False
TA0005,stealth,stealth,T1085,rundll32,False
TA0002,execution,execution,T1085,rundll32,False
TA0003,persistence,persistence,T1031,modify existing service,False
TA0004,privilege escalation,privilege-escalation,T1546.005,trap,True
TA0003,persistence,persistence,T1546.005,trap,True
TA0005,stealth,stealth,T1574.006,dynamic linker hijacking,True
TA0002,execution,execution,T1574.006,dynamic linker hijacking,True
TA0003,persistence,persistence,T1136.001,local account,True
TA0043,reconnaissance,reconnaissance,T1681,search threat vendor data,False
TA0002,execution,execution,T1674,input injection,False
TA0011,command and control,command-and-control,T1092,communication through removable media,False
TA0005,stealth,stealth,T1070.001,clear windows event logs,True
TA0042,resource development,resource-development,T1585.002,email accounts,True
TA0006,credential access,credential-access,T1557.001,name resolution poisoning and smb relay,True
TA0009,collection,collection,T1557.001,name resolution poisoning and smb relay,True
TA0112,defense impairment,defense-impairment,T1222,file and directory permissions modification,False
TA0006,credential access,credential-access,T1003.001,lsass memory,True
TA0002,execution,execution,T1053.001,at (linux),True
TA0003,persistence,persistence,T1053.001,at (linux),True
TA0004,privilege escalation,privilege-escalation,T1053.001,at (linux),True
TA0003,persistence,persistence,T1176.002,ide extensions,True
TA0003,persistence,persistence,T1179,hooking,False
TA0004,privilege escalation,privilege-escalation,T1179,hooking,False
TA0006,credential access,credential-access,T1179,hooking,False
TA0043,reconnaissance,reconnaissance,T1595,active scanning,False
TA0005,stealth,stealth,T1027.016,junk code insertion,True
TA0003,persistence,persistence,T1547.011,plist modification,True
TA0004,privilege escalation,privilege-escalation,T1547.011,plist modification,True
TA0004,privilege escalation,privilege-escalation,T1548,abuse elevation control mechanism,False
TA0005,stealth,stealth,T1134.002,create process with token,True
TA0004,privilege escalation,privilege-escalation,T1134.002,create process with token,True
TA0004,privilege escalation,privilege-escalation,T1548.001,setuid and setgid,True
TA0003,persistence,persistence,T1547.004,winlogon helper dll,True
TA0004,privilege escalation,privilege-escalation,T1547.004,winlogon helper dll,True
TA0003,persistence,persistence,T1019,system firmware,False
TA0008,lateral movement,lateral-movement,T1021.003,distributed component object model,True
TA0003,persistence,persistence,T1042,change default file association,False
TA0005,stealth,stealth,T1117,regsvr32,False
TA0002,execution,execution,T1117,regsvr32,False
TA0006,credential access,credential-access,T1110.003,password spraying,True
TA0011,command and control,command-and-control,T1090.002,external proxy,True
TA0009,collection,collection,T1056.003,web portal capture,True
TA0006,credential access,credential-access,T1056.003,web portal capture,True
TA0043,reconnaissance,reconnaissance,T1589.002,email addresses,True
TA0003,persistence,persistence,T1164,re-opened applications,False
TA0005,stealth,stealth,T1054,indicator blocking,False
TA0043,reconnaissance,reconnaissance,T1598.004,spearphishing voice,True
TA0042,resource development,resource-development,T1683.001,written content,True
TA0005,stealth,stealth,T1108,redundant access,False
TA0003,persistence,persistence,T1108,redundant access,False
TA0001,initial access,initial-access,T1193,spearphishing attachment,False
TA0006,credential access,credential-access,T1003.005,cached domain credentials,True
TA0003,persistence,persistence,T1098.004,ssh authorized keys,True
TA0004,privilege escalation,privilege-escalation,T1098.004,ssh authorized keys,True
TA0007,discovery,discovery,T1673,virtual machine discovery,False
TA0003,persistence,persistence,T1215,kernel modules and extensions,False
TA0003,persistence,persistence,T1101,security support provider,False
TA0043,reconnaissance,reconnaissance,T1590.006,network security appliances,True
TA0004,privilege escalation,privilege-escalation,T1546.012,image file execution options injection,True
TA0003,persistence,persistence,T1546.012,image file execution options injection,True
TA0005,stealth,stealth,T1218.008,odbcconf,True
TA0043,reconnaissance,reconnaissance,T1593.002,search engines,True
TA0002,execution,execution,T1177,lsass driver,False
